province,longitude,latitude
CALGARY,-114.066666,51.049999
EDMONTON,-113.323975,53.631611
HALIFAX,-63.582687,44.65107
MONCTON,-64.790497,46.090946
MONTREAL,-73.561668,45.508888
OTTAWA,-75.695,45.424721
QUEBEC,-71.254028,46.829853
SASKATOON,-106.647034,52.146973
STJOHNS,-52.71283,47.560539
TORONTO,-79.347015,43.65107
VANCOUVER,-123.116226,49.246292
WHITEHORSE,-135.056839,60.721188
WINNIPEG,-97.138451,49.895077
